"filename", "language", "Java", "JSON", "comment", "blank", "total"
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\IMUSubsystem.java", "Java", 66, 0, 84, 30, 180
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\IntakeSubsystem.java", "Java", 62, 0, 93, 31, 186
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\LLDetectorSubsystem.java", "Java", 42, 0, 6, 11, 59
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\LLVisionSubsystem.java", "Java", 81, 0, 18, 16, 115
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\NetworkTablesSubsystem.java", "Java", 44, 0, 10, 18, 72
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\PhotonVisionDriverCameraSubsystem.java", "Java", 15, 0, 5, 10, 30
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\PhotonVisionNoteHuntingSubsystem.java", "Java", 59, 0, 14, 24, 97
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\PhotonVisionSubsystem.java", "Java", 84, 0, 43, 31, 158
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\ShooterSubsystem.java", "Java", 114, 0, 59, 52, 225
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\SmartDashboardSubsystem.java", "Java", 108, 0, 10, 26, 144
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\SwerveRobotModule.java", "Java", 243, 0, 62, 91, 396
"Total", "-", 8109, 1, 3143, 2297, 13550
