"filename", "language", "Batch", "JSON", "Groovy", "JSON with Comments", "Java Properties", "Markdown", "Java", "comment", "blank", "total"
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid2CalibrationREV.java", "Java", 0, 0, 0, 0, 0, 0, 38, 24, 15, 77
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid2CalibrationREVCamera.java", "Java", 0, 0, 0, 0, 0, 0, 50, 26, 23, 99
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid2CalibrationREVNonStop.java", "Java", 0, 0, 0, 0, 0, 0, 36, 23, 14, 73
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid3CalHighREVNonStop.java", "Java", 0, 0, 0, 0, 0, 0, 82, 29, 12, 123
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid3CalLowREVNonStop.java", "Java", 0, 0, 0, 0, 0, 0, 82, 29, 12, 123
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid3Notes2.java", "Java", 0, 0, 0, 0, 0, 0, 90, 32, 5, 127
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid3Notes2REVNonStop.java", "Java", 0, 0, 0, 0, 0, 0, 87, 42, 16, 145
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMid4CalREVNonStop.java", "Java", 0, 0, 0, 0, 0, 0, 119, 35, 39, 193
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoBlueMidCalibrationCameraAdjustment.java", "Java", 0, 0, 0, 0, 0, 0, 63, 33, 24, 120
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlue2CenterFromBottom.java", "Java", 0, 0, 0, 0, 0, 0, 53, 9, 4, 66
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueBottomShootLeave.java", "Java", 0, 0, 0, 0, 0, 0, 24, 9, 7, 40
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueHigher2.java", "Java", 0, 0, 0, 0, 0, 0, 40, 20, 14, 74
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueLower2.java", "Java", 0, 0, 0, 0, 0, 0, 40, 20, 14, 74
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueMid2.java", "Java", 0, 0, 0, 0, 0, 0, 40, 20, 14, 74
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueMid3Notes.java", "Java", 0, 0, 0, 0, 0, 0, 78, 25, 4, 107
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueMid3NotesLow.java", "Java", 0, 0, 0, 0, 0, 0, 78, 25, 4, 107
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueMid4Notes.java", "Java", 0, 0, 0, 0, 0, 0, 117, 25, 10, 152
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueMidShootLeave.java", "Java", 0, 0, 0, 0, 0, 0, 24, 9, 5, 38
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCBlueTopShootLeave.java", "Java", 0, 0, 0, 0, 0, 0, 24, 9, 5, 38
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCBlue2CenterFromBottom.java", "Java", 0, 0, 0, 0, 0, 0, 73, 19, 18, 110
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCBlueHigher2.java", "Java", 0, 0, 0, 0, 0, 0, 59, 29, 20, 108
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCBlueLower2.java", "Java", 0, 0, 0, 0, 0, 0, 59, 28, 18, 105
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCBlueMid2.java", "Java", 0, 0, 0, 0, 0, 0, 59, 29, 19, 107
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCBlueMid3High.java", "Java", 0, 0, 0, 0, 0, 0, 116, 41, 27, 184
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCBlueMid3Low.java", "Java", 0, 0, 0, 0, 0, 0, 116, 41, 27, 184
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCRed2CenterFromBottom.java", "Java", 0, 0, 0, 0, 0, 0, 73, 19, 18, 110
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCRedHigher2.java", "Java", 0, 0, 0, 0, 0, 0, 59, 29, 20, 108
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCRedLower2.java", "Java", 0, 0, 0, 0, 0, 0, 59, 28, 18, 105
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCRedMid2.java", "Java", 0, 0, 0, 0, 0, 0, 59, 29, 19, 107
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCRedMid3High.java", "Java", 0, 0, 0, 0, 0, 0, 116, 41, 27, 184
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRNCRedMid3Low.java", "Java", 0, 0, 0, 0, 0, 0, 116, 41, 27, 184
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRed2CenterFromBottom.java", "Java", 0, 0, 0, 0, 0, 0, 52, 9, 4, 65
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedBottomShootLeave.java", "Java", 0, 0, 0, 0, 0, 0, 24, 9, 7, 40
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedHigher2.java", "Java", 0, 0, 0, 0, 0, 0, 40, 20, 14, 74
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedLower2.java", "Java", 0, 0, 0, 0, 0, 0, 40, 20, 14, 74
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedMid2.java", "Java", 0, 0, 0, 0, 0, 0, 40, 20, 14, 74
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedMid3Notes.java", "Java", 0, 0, 0, 0, 0, 0, 78, 25, 4, 107
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedMid3NotesLow.java", "Java", 0, 0, 0, 0, 0, 0, 78, 25, 4, 107
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedMid4Notes.java", "Java", 0, 0, 0, 0, 0, 0, 117, 25, 5, 147
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedMidShootLeave.java", "Java", 0, 0, 0, 0, 0, 0, 24, 9, 5, 38
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoCRedTopShootLeave.java", "Java", 0, 0, 0, 0, 0, 0, 24, 9, 5, 38
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoDriveToClimbingPosition.java", "Java", 0, 0, 0, 0, 0, 0, 32, 11, 6, 49
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoRedCalibration.java", "Java", 0, 0, 0, 0, 0, 0, 43, 9, 4, 56
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoRedCalibration2.java", "Java", 0, 0, 0, 0, 0, 0, 41, 9, 4, 54
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoRedMid3Notes.java", "Java", 0, 0, 0, 0, 0, 0, 117, 25, 5, 147
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutoRedMid4CalREVNonStop.java", "Java", 0, 0, 0, 0, 0, 0, 119, 35, 39, 193
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutonomousCommandPlaceholder.java", "Java", 0, 0, 0, 0, 0, 0, 10, 8, 5, 23
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutonomousTrajectory2Poses.java", "Java", 0, 0, 0, 0, 0, 0, 27, 30, 8, 65
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutonomousTrajectory2PosesDynamic.java", "Java", 0, 0, 0, 0, 0, 0, 24, 17, 8, 49
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutonomousTrajectory3Poses.java", "Java", 0, 0, 0, 0, 0, 0, 25, 30, 7, 62
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutonomousTrajectoryNPoses.java", "Java", 0, 0, 0, 0, 0, 0, 28, 13, 11, 52
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\AutonomousTrajectoryRioCommand.java", "Java", 0, 0, 0, 0, 0, 0, 61, 41, 21, 123
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\CalibrateArmPositionForShooterCalibration.java", "Java", 0, 0, 0, 0, 0, 0, 27, 11, 10, 48
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\CalibrateArmPowerFF.java", "Java", 0, 0, 0, 0, 0, 0, 30, 11, 10, 51
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\CalibrateIntakePower.java", "Java", 0, 0, 0, 0, 0, 0, 31, 12, 8, 51
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\CalibrateShooterPower.java", "Java", 0, 0, 0, 0, 0, 0, 30, 9, 8, 47
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ClimbDown.java", "Java", 0, 0, 0, 0, 0, 0, 18, 9, 8, 35
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ClimbStop.java", "Java", 0, 0, 0, 0, 0, 0, 12, 8, 5, 25
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ClimbUp.java", "Java", 0, 0, 0, 0, 0, 0, 18, 9, 10, 37
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ControllerRumbleCommandDriver.java", "Java", 0, 0, 0, 0, 0, 0, 15, 9, 4, 28
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ControllerRumbleStop.java", "Java", 0, 0, 0, 0, 0, 0, 12, 8, 5, 25
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\DriveManuallyCommand.java", "Java", 0, 0, 0, 0, 0, 0, 46, 17, 19, 82
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\IntakeGrabNote.java", "Java", 0, 0, 0, 0, 0, 0, 17, 10, 4, 31
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\IntakeRun.java", "Java", 0, 0, 0, 0, 0, 0, 18, 8, 5, 31
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\IntakeStop.java", "Java", 0, 0, 0, 0, 0, 0, 12, 8, 5, 25
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\LEDBlink.java", "Java", 0, 0, 0, 0, 0, 0, 15, 9, 4, 28
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\NoteDriveAndPickup.java", "Java", 0, 0, 0, 0, 0, 0, 12, 9, 4, 25
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\NoteDriveCommand.java", "Java", 0, 0, 0, 0, 0, 0, 22, 14, 8, 44
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\PosePrinter.java", "Java", 0, 0, 0, 0, 0, 0, 22, 9, 12, 43
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\RunTrajectorySequenceRobotAtStartPoint.java", "Java", 0, 0, 0, 0, 0, 0, 47, 54, 20, 121
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootUsingLL.java", "Java", 0, 0, 0, 0, 0, 0, 23, 9, 8, 40
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootUsingLLAndTurn.java", "Java", 0, 0, 0, 0, 0, 0, 52, 46, 26, 124
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShooterStop.java", "Java", 0, 0, 0, 0, 0, 0, 12, 8, 5, 25
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShooterToPower.java", "Java", 0, 0, 0, 0, 0, 0, 29, 9, 10, 48
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootingAmpPostSequence.java", "Java", 0, 0, 0, 0, 0, 0, 14, 11, 4, 29
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootingAmpPreSequence.java", "Java", 0, 0, 0, 0, 0, 0, 14, 11, 5, 30
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootingAmpSequence.java", "Java", 0, 0, 0, 0, 0, 0, 18, 14, 4, 36
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootingGPM0Sequence.java", "Java", 0, 0, 0, 0, 0, 0, 34, 17, 5, 56
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootingGPM60Sequence.java", "Java", 0, 0, 0, 0, 0, 0, 20, 13, 5, 38
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootingPushNote.java", "Java", 0, 0, 0, 0, 0, 0, 26, 12, 7, 45
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\ShootingSequenceManual.java", "Java", 0, 0, 0, 0, 0, 0, 19, 10, 4, 33
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\StopAllMotorsCommand.java", "Java", 0, 0, 0, 0, 0, 0, 24, 19, 12, 55
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\commands\TurnToRelativeAngleSoftwarePIDCommand.java", "Java", 0, 0, 0, 0, 0, 0, 46, 10, 9, 65
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\lib\GPMHelpers.java", "Java", 0, 0, 0, 0, 0, 0, 111, 27, 32, 170
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\lib\LimelightHelpers.java", "Java", 0, 0, 0, 0, 0, 0, 556, 68, 164, 788
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\lib\TrajectoryHelpers.java", "Java", 0, 0, 0, 0, 0, 0, 21, 8, 10, 39
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\lib\VisionHelpers.java", "Java", 0, 0, 0, 0, 0, 0, 55, 4, 13, 72
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\ArmSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 165, 93, 71, 329
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\CANdleSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 59, 6, 19, 84
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\ClimberSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 39, 8, 18, 65
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\DriveSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 165, 74, 58, 297
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\ExampleSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 20, 20, 8, 48
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\IMUSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 66, 84, 30, 180
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\IntakeSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 62, 93, 31, 186
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\LLDetectorSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 42, 6, 11, 59
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\LLVisionSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 60, 11, 13, 84
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\NetworkTablesSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 44, 10, 18, 72
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\PhotonVisionDriverCameraSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 15, 5, 10, 30
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\PhotonVisionNoteHuntingSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 43, 11, 18, 72
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\PhotonVisionSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 84, 43, 31, 158
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\ShooterSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 114, 59, 52, 225
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\SmartDashboardSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 108, 10, 26, 144
"t:\Projects\MechaRAMS\2024Competition\src\main\java\frc\robot\subsystems\SwerveRobotModule.java", "Java", 0, 0, 0, 0, 0, 0, 243, 62, 91, 396
"t:\Projects\MechaRAMS\2024Competition\vendordeps\PathplannerLib2023.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 36
"t:\Projects\MechaRAMS\2024Competition\vendordeps\Phoenix5.json", "JSON", 0, 151, 0, 0, 0, 0, 0, 0, 0, 151
"t:\Projects\MechaRAMS\2024Competition\vendordeps\Phoenix6.json", "JSON", 0, 339, 0, 0, 0, 0, 0, 0, 0, 339
"t:\Projects\MechaRAMS\2024Competition\vendordeps\REVLib.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 0, 74
"t:\Projects\MechaRAMS\2024Competition\vendordeps\WPILibNewCommands.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"t:\Projects\MechaRAMS\2024Competition\vendordeps\photonlib.json", "JSON", 0, 57, 0, 0, 0, 0, 0, 0, 0, 57
"Total", "-", 41, 702, 90, 12, 7, 23, 7597, 2971, 2198, 13641
